Address,Price,Sold Date,Agent Phone
"150 SALTON LN, Spring Hill (701), TN","$136,000",2025-12-04,N/A
"6009 EMMA VICTORIA DR, Unincorporated (000), TN",N/A,2025-11-24,N/A
"521 SUGARTREE LN, Franklin (263264), TN","$18,000",2025-12-19,N/A
"4031 OGLETHORPE DR, Franklin (263967), TN","$646,000",2025-11-26,N/A
"1296 LIBERTY PK, Franklin (263967), TN",N/A,2025-12-10,N/A
"114 MITFORD PVT LN, Spring Hill (701), TN","$4,000",2025-12-05,N/A
"3127 LANGLEY DR, Franklin (263967), TN","$1,228,000",2025-11-17,N/A
"2204 OAKWOOD CT, Unincorporated (000), TN","$166,000",2025-10-27,N/A
"3540 JOSEPHINE WAY, Nolensville (535), TN","$179,000",2025-11-13,N/A
"117 GILBERT DR, Unincorporated (000), TN",N/A,2025-10-14,N/A
"1310 HABER DR, Brentwood (086), TN","$36,000",2025-10-11,N/A
"721 JONES PKWY, Brentwood (086), TN","$68,000",2025-10-17,N/A
"5690 PINEWOOD RD, Unincorporated (000), TN",N/A,2025-10-16,N/A
"5700 PINEWOOD RD, Unincorporated (000), TN",N/A,2025-10-16,N/A
"224 STILLCREEK DR, Franklin (263967), TN","$720,000",2025-11-07,N/A
"8617 BELLADONNA DR, Unincorporated (000), TN","$7,028,000",2025-12-05,N/A
"5013 POPLAR FARMS DR, Franklin (263967), TN","$34,000",2025-11-24,N/A
"7007 CHARDON ST, Franklin (263967), TN","$117,000",2025-10-16,N/A
"2135 CARLTON LN, Spring Hill (701), TN","$72,000",2025-10-22,N/A
"825 HWY 96 N, Fairview (255), TN","$2,000",2025-10-30,N/A
"98 GOVERNORS WAY, Brentwood (086), TN","$272,000",2025-11-07,N/A
"1001 CALICO ST, Franklin (263967), TN","$2,104,000",2025-11-21,N/A
"3025 FLAGSTONE DR, Unincorporated (000), TN","$301,000",2025-11-24,N/A
"1 TORREY PINES WAY, Brentwood (086), TN","$372,000",2025-10-10,N/A
"7159 MAPLESIDE LN, Fairview (255), TN","$28,000",2025-11-21,N/A
"CAMPBELL STATION PKWY, Spring Hill (701), TN","$1,000",2025-10-24,N/A
"3020 YELLOW BRICK CT, Spring Hill (701), TN","$745,000",2025-12-02,N/A
"3920 JOHNSON HOLLOW RD, Unincorporated (000), TN","$1,000",2025-11-25,N/A
"927 FAIR ST, Franklin (263264), TN",N/A,2025-10-30,N/A
"1001 CHAMPIONSHIP BLVD, Franklin (263967), TN","$2,738,000",2025-11-14,N/A
"2912 STEWART CAMPBELL PT, Spring Hill (701), TN","$100,000",2025-10-12,N/A
"9603 ROMANO WAY, Brentwood (086), TN","$74,000",2025-11-07,N/A
"4011 TRAIL RIDGE DR, Unincorporated (000), TN","$63,000",2025-10-30,N/A
"2012 GENERAL MARTIN LN, Franklin (263967), TN","$7,050,000",2025-11-14,N/A
"1411 ROBERT E LEE LN, Brentwood (086), TN","$99,000",2025-11-07,N/A
"4093 KATHIE DR, Thompson's Station (718), TN","$26,000",2025-11-20,N/A
"1969 SUNNY SIDE DR, Unincorporated (000), TN","$38,000",2025-11-12,N/A
"7104 ELROD RD, Unincorporated (000), TN",N/A,2025-10-23,N/A
"3017 WINTERBERRY DR, Nolensville (535), TN","$35,000",2025-11-25,N/A
"1525 HALSEY DR, Nolensville (535), TN","$35,000",2025-12-15,N/A
"5160 BOND MILL RD, Unincorporated (000), TN","$302,000",2025-11-25,N/A
"6531 EUDAILEY-COVINGTON RD, Unincorporated (000), TN",N/A,2025-10-24,N/A
"6525 EUDAILEY-COVINGTON RD, Unincorporated (000), TN",N/A,2025-10-24,N/A
"461 CARDEL LN, Franklin (263967), TN",OPEN SPACE 24,2025-10-23,N/A
"1056 CARLISLE LN, Franklin (263967), TN",OPEN SPACE 23,2025-10-23,N/A
"400 CARDEL LN, Franklin (263967), TN",OPEN SPACE 22,2025-10-23,N/A
"1050 CARDEL LN, Franklin (263967), TN",OPEN SPACE 21,2025-10-23,N/A
"8219 ALAMO RD, Brentwood (086), TN","$21,000",2025-12-02,N/A
